Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A537946,STRAY,11/25/2025,*PENELOPE,OTHER,1 YEAR 1 MONTH,MED,WHITE / BLACK,RABBIT SH / HOTOT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537946&location=MONT,"10200 BLK DOUGLAS AVE, SILVER SPRING MD 20902"
A537935,STRAY,11/25/2025,*SHELLY,DOG,4 YEARS,LARGE,BROWN / BLACK,GERM SHEPHERD / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537935&location=MONT,"12800 NEW HAMPSHIRE AVE, ASHTON MD 20861"
A537143,STRAY,10/31/2025,*WYCLEF,CAT,2 YEARS,SMALL,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537143&location=MONT,"0 ASHMONT CT, SILVER SPRING MD 20906"
A537996,STRAY,11/27/2025,*GARBANZO,OTHER,NO AGE,SMALL,TAN / WHITE,RABBIT SH,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537996&location=MONT,"700 QUINCE ORCHARD BLVD, GAITHERSBURG MD 20878"
A537873,STRAY,11/22/2025,*ANDRIS,CAT,1 YEAR 1 MONTH,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537873&location=MONT,"400 MUDDY BRANCH RD, GAITHERSBURG MD 20878"
A538099,STRAY,12/01/2025,*SUPERPIG,OTHER,2 YEARS,SMALL,BLACK / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538099&location=MONT,"200 BOOTH ST, GAITHERSBURG MD 20878"
A538018,STRAY,11/28/2025,*POLARIS,CAT,1 YEAR 8 MONTHS,MED,ORANGE TAB / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538018&location=MONT,TAKOMA PARK MC 20912
A537569,STRAY,11/11/2025,*RUMPUS,CAT,4 YEARS,SMALL,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537569&location=MONT,"8000 CRABTREE PL, GAITHERSBURG MD 20879"
A537675,STRAY,11/14/2025,*NUTELLA,DOG,3 YEARS,MED,BROWN,BULLDOG / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537675&location=MONT,"7800 CESSNA AVE, GAITHERSBURG MD 20879"
A537910,BOARDING,11/23/2025,ICY,DOG,3 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537910&location=MONT,
A507665,OWNER SUR,11/18/2025,CANOLLI,CAT,2 YEARS,MED,GRAY TAB,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A507665&location=MONT,
A534927,OWNER SUR,08/24/2025,JAMESON,CAT,4 YEARS,MED,WHITE / BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A534927&location=MONT,
A537785,OWNER SUR,11/19/2025,*TOPO CHICO,CAT,2 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537785&location=MONT,
A538036,RETURN,12/03/2025,NUGGET,OTHER,2 YEARS,SMALL,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538036&location=MONT,
A537983,RETURN,12/03/2025,UNIQUE,OTHER,3 YEARS,SMALL,TRI/WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537983&location=MONT,
A538219,OWNER SUR,12/03/2025,*CLARENCE,OTHER,2 YEARS,SMALL,TRI/BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538219&location=MONT,
A497655,OWNER SUR,11/29/2025,IRIS,DOG,3 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A497655&location=MONT,
A538070,OWNER SUR,11/29/2025,*TIARA,CAT,2 YEARS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538070&location=MONT,
A533099,OWNER SUR,07/07/2025,THUNDA,DOG,3 YEARS,MED,BLACK / WHITE,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533099&location=MONT,
A528798,OWNER SUR,12/04/2025,FERB,OTHER,1 YEAR 9 MONTHS,MED,BROWN / TAN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528798&location=MONT,
A528797,OWNER SUR,12/04/2025,PHIN,OTHER,1 YEAR 9 MONTHS,MED,WHITE / BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528797&location=MONT,
A535978,OWNER SUR,09/26/2025,OREO,CAT,4 YEARS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535978&location=MONT,
